Extended Data Table 1. Complete structure list for all 3D volumes in CCFv3. Note that some volumes were generated by merging smaller volumes into parent structures higher up the ontology tree.,,,,,,,,,,
order,structure ID,full structure name,abbreviation,parent_id,depth in tree,structure_id_path,total_voxel_counts (10 um),Structure independently delineated (not merged to form parents),Major Division,"""Summary Structure"" Level for Analyses"
282,1101,"Agranular insular area, dorsal part, layer 5",AId5,104,8,/997/8/567/688/695/315/95/104/1101/,1509586,Y,,
283,783,"Agranular insular area, dorsal part, layer 6a",AId6a,104,8,/997/8/567/688/695/315/95/104/783/,781724,Y,,
284,831,"Agranular insular area, dorsal part, layer 6b",AId6b,104,8,/997/8/567/688/695/315/95/104/831/,48282,Y,,
285,111,"Agranular insular area, posterior part",AIp,95,7,/997/8/567/688/695/315/95/111/,2434626,,,Y
286,120,"Agranular insular area, posterior part, layer 1",AIp1,111,8,/997/8/567/688/695/315/95/111/120/,422038,Y,,
287,163,"Agranular insular area, posterior part, layer 2/3",AIp2/3,111,8,/997/8/567/688/695/315/95/111/163/,803644,Y,,
288,344,"Agranular insular area, posterior part, layer 5",AIp5,111,8,/997/8/567/688/695/315/95/111/344/,752576,Y,,
289,314,"Agranular insular area, posterior part, layer 6a",AIp6a,111,8,/997/8/567/688/695/315/95/111/314/,435738,Y,,
290,355,"Agranular insular area, posterior part, layer 6b",AIp6b,111,8,/997/8/567/688/695/315/95/111/355/,20630,Y,,
291,119,"Agranular insular area, ventral part",AIv,95,7,/997/8/567/688/695/315/95/119/,1734830,,,Y
292,704,"Agranular insular area, ventral part, layer 1",AIv1,119,8,/997/8/567/688/695/315/95/119/704/,248482,Y,,
293,694,"Agranular insular area, ventral part, layer 2/3",AIv2/3,119,8,/997/8/567/688/695/315/95/119/694/,594928,Y,,
294,800,"Agranular insular area, ventral part, layer 5",AIv5,119,8,/997/8/567/688/695/315/95/119/800/,720432,Y,,
295,675,"Agranular insular area, ventral part, layer 6a",AIv6a,119,8,/997/8/567/688/695/315/95/119/675/,167928,Y,,
296,699,"Agranular insular area, ventral part, layer 6b",AIv6b,119,8,/997/8/567/688/695/315/95/119/699/,3060,Y,,
297,254,Retrosplenial area,RSP,315,6,/997/8/567/688/695/315/254/,10503636,,,
298,894,"Retrosplenial area, lateral agranular part",RSPagl,254,7,/997/8/567/688/695/315/254/894/,2357084,,,Y
299,671,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,894,8,/997/8/567/688/695/315/254/894/671/,507296,Y,,
300,965,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,894,8,/997/8/567/688/695/315/254/894/965/,669946,Y,,
301,774,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,894,8,/997/8/567/688/695/315/254/894/774/,733242,Y,,
302,906,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,894,8,/997/8/567/688/695/315/254/894/906/,412238,Y,,
303,279,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,894,8,/997/8/567/688/695/315/254/894/279/,34362,Y,,
325,879,"Retrosplenial area, dorsal part",RSPd,254,7,/997/8/567/688/695/315/254/879/,3799386,,,Y
326,442,"Retrosplenial area, dorsal part, layer 1",RSPd1,879,8,/997/8/567/688/695/315/254/879/442/,833240,Y,,
327,434,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,879,8,/997/8/567/688/695/315/254/879/434/,972450,Y,,
329,610,"Retrosplenial area, dorsal part, layer 5",RSPd5,879,8,/997/8/567/688/695/315/254/879/610/,1205990,Y,,
330,274,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,879,8,/997/8/567/688/695/315/254/879/274/,756694,Y,,
331,330,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,879,8,/997/8/567/688/695/315/254/879/330/,31010,Y,,
332,886,"Retrosplenial area, ventral part",RSPv,254,7,/997/8/567/688/695/315/254/886/,4347166,,,Y
333,542,"Retrosplenial area, ventral part, layer 1",RSPv1,886,8,/997/8/567/688/695/315/254/886/542/,947416,Y,,
335,430,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,886,8,/997/8/567/688/695/315/254/886/430/,1012970,Y,,
336,687,"Retrosplenial area, ventral part, layer 5",RSPv5,886,8,/997/8/567/688/695/315/254/886/687/,1678750,Y,,
337,590,"Retrosplenial area, ventral part, layer 6a",RSPv6a,886,8,/997/8/567/688/695/315/254/886/590/,659730,Y,,
338,622,"Retrosplenial area, ventral part, layer 6b",RSPv6b,886,8,/997/8/567/688/695/315/254/886/622/,48300,Y,,
339,22,Posterior parietal association areas,PTLp,315,6,/997/8/567/688/695/315/22/,2456828,,,
346,312782546,Anterior area,VISa,22,7,/997/8/567/688/695/315/22/312782546/,1439164,,,Y
347,312782550,"Anterior area, layer 1",VISa1,312782546,8,/997/8/567/688/695/315/22/312782546/312782550/,239674,Y,,
348,312782554,"Anterior area, layer 2/3",VISa2/3,312782546,8,/997/8/567/688/695/315/22/312782546/312782554/,426718,Y,,
349,312782558,"Anterior area, layer 4",VISa4,312782546,8,/997/8/567/688/695/315/22/312782546/312782558/,154800,Y,,
350,312782562,"Anterior area, layer 5",VISa5,312782546,8,/997/8/567/688/695/315/22/312782546/312782562/,355238,Y,,
351,312782566,"Anterior area, layer 6a",VISa6a,312782546,8,/997/8/567/688/695/315/22/312782546/312782566/,223374,Y,,
352,312782570,"Anterior area, layer 6b",VISa6b,312782546,8,/997/8/567/688/695/315/22/312782546/312782570/,39360,Y,,
353,417,Rostrolateral visual area,VISrl,22,7,/997/8/567/688/695/315/22/417/,1017664,,,Y
354,312782604,"Rostrolateral area, layer 1",VISrl1,417,8,/997/8/567/688/695/315/22/417/312782604/,170740,Y,,
355,312782608,"Rostrolateral area, layer 2/3",VISrl2/3,417,8,/997/8/567/688/695/315/22/417/312782608/,276390,Y,,
356,312782612,"Rostrolateral area, layer 4",VISrl4,417,8,/997/8/567/688/695/315/22/417/312782612/,146294,Y,,
357,312782616,"Rostrolateral area, layer 5",VISrl5,417,8,/997/8/567/688/695/315/22/417/312782616/,244294,Y,,
358,312782620,"Rostrolateral area, layer 6a",VISrl6a,417,8,/997/8/567/688/695/315/22/417/312782620/,151428,Y,,
359,312782624,"Rostrolateral area, layer 6b",VISrl6b,417,8,/997/8/567/688/695/315/22/417/312782624/,28518,Y,,
360,541,Temporal association areas,TEa,315,6,/997/8/567/688/695/315/541/,3102282,,,Y
361,97,"Temporal association areas, layer 1",TEa1,541,7,/997/8/567/688/695/315/541/97/,525406,Y,,
362,1127,"Temporal association areas, layer 2/3",TEa2/3,541,7,/997/8/567/688/695/315/541/1127/,701596,Y,,
363,234,"Temporal association areas, layer 4",TEa4,541,7,/997/8/567/688/695/315/541/234/,312818,Y,,
364,289,"Temporal association areas, layer 5",TEa5,541,7,/997/8/567/688/695/315/541/289/,949232,Y,,
365,729,"Temporal association areas, layer 6a",TEa6a,541,7,/997/8/567/688/695/315/541/729/,523472,Y,,
366,786,"Temporal association areas, layer 6b",TEa6b,541,7,/997/8/567/688/695/315/541/786/,89758,Y,,
367,922,Perirhinal area,PERI,315,6,/997/8/567/688/695/315/922/,789792,,,Y
368,335,"Perirhinal area, layer 6a",PERI6a,922,7,/997/8/567/688/695/315/922/335/,53894,Y,,
369,368,"Perirhinal area, layer 6b",PERI6b,922,7,/997/8/567/688/695/315/922/368/,13148,Y,,
370,540,"Perirhinal area, layer 1",PERI1,922,7,/997/8/567/688/695/315/922/540/,221266,Y,,
371,692,"Perirhinal area, layer 5",PERI5,922,7,/997/8/567/688/695/315/922/692/,168374,Y,,
372,888,"Perirhinal area, layer 2/3",PERI2/3,922,7,/997/8/567/688/695/315/922/888/,333110,Y,,
373,895,Ectorhinal area,ECT,315,6,/997/8/567/688/695/315/895/,1712238,,,Y
374,836,Ectorhinal area/Layer 1,ECT1,895,7,/997/8/567/688/695/315/895/836/,258520,Y,,
375,427,Ectorhinal area/Layer 2/3,ECT2/3,895,7,/997/8/567/688/695/315/895/427/,476150,Y,,
376,988,Ectorhinal area/Layer 5,ECT5,895,7,/997/8/567/688/695/315/895/988/,529802,Y,,
377,977,Ectorhinal area/Layer 6a,ECT6a,895,7,/997/8/567/688/695/315/895/977/,388414,Y,,
378,1045,Ectorhinal area/Layer 6b,ECT6b,895,7,/997/8/567/688/695/315/895/1045/,59352,Y,,
379,698,Olfactory areas,OLF,695,5,/997/8/567/688/695/698/,46701932,,Y,
380,507,Main olfactory bulb,MOB,698,6,/997/8/567/688/695/698/507/,16464300,Y,,Y
386,151,Accessory olfactory bulb,AOB,698,6,/997/8/567/688/695/698/151/,652032,,,Y
387,188,"Accessory olfactory bulb, glomerular layer",AOBgl,151,7,/997/8/567/688/695/698/151/188/,154454,Y,,
388,196,"Accessory olfactory bulb, granular layer",AOBgr,151,7,/997/8/567/688/695/698/151/196/,220288,Y,,
389,204,"Accessory olfactory bulb, mitral layer",AOBmi,151,7,/997/8/567/688/695/698/151/204/,277290,Y,,
390,159,Anterior olfactory nucleus,AON,698,6,/997/8/567/688/695/698/159/,4870684,Y,,Y
398,589,Taenia tecta,TT,698,6,/997/8/567/688/695/698/589/,1440998,,,Y
399,597,"Taenia tecta, dorsal part",TTd,589,7,/997/8/567/688/695/698/589/597/,723370,Y,,
405,605,"Taenia tecta, ventral part",TTv,589,7,/997/8/567/688/695/698/589/605/,717628,Y,,
410,814,Dorsal peduncular area,DP,698,6,/997/8/567/688/695/698/814/,504720,Y,,Y
416,961,Piriform area,PIR,698,6,/997/8/567/688/695/698/961/,11566814,Y,,Y
421,619,Nucleus of the lateral olfactory tract,NLOT,698,6,/997/8/567/688/695/698/619/,319480,,,Y
423,260,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,619,7,/997/8/567/688/695/698/619/260/,111502,Y,,
424,268,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,619,7,/997/8/567/688/695/698/619/268/,149582,Y,,
425,1139,"Nucleus of the lateral olfactory tract, layer 3",NLOT3,619,7,/997/8/567/688/695/698/619/1139/,58396,Y,,
426,631,Cortical amygdalar area,COA,698,6,/997/8/567/688/695/698/631/,3265152,,,
427,639,"Cortical amygdalar area, anterior part",COAa,631,7,/997/8/567/688/695/698/631/639/,767476,Y,,Y
431,647,"Cortical amygdalar area, posterior part",COAp,631,7,/997/8/567/688/695/698/631/647/,2497676,,,Y
432,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,647,8,/997/8/567/688/695/698/631/647/655/,1202336,Y,,
438,663,"Cortical amygdalar area, posterior part, medial zone",COApm,647,8,/997/8/567/688/695/698/631/647/663/,1295340,Y,,
444,788,Piriform-amygdalar area,PAA,698,6,/997/8/567/688/695/698/788/,1191612,Y,,Y
449,566,Postpiriform transition area,TR,698,6,/997/8/567/688/695/698/566/,1404722,Y,,Y
454,1089,Hippocampal formation,HPF,695,5,/997/8/567/688/695/1089/,42641090,,Y,
455,1080,Hippocampal region,HIP,1089,6,/997/8/567/688/695/1089/1080/,23715574,,,
456,375,Ammon's horn,CA,1080,7,/997/8/567/688/695/1089/1080/375/,16931028,,,
457,382,Field CA1,CA1,375,8,/997/8/567/688/695/1089/1080/375/382/,10191672,Y,,Y
462,423,Field CA2,CA2,375,8,/997/8/567/688/695/1089/1080/375/423/,475930,Y,,Y
467,463,Field CA3,CA3,375,8,/997/8/567/688/695/1089/1080/375/463/,6263426,Y,,Y
473,726,Dentate gyrus,DG,1080,7,/997/8/567/688/695/1089/1080/726/,6597176,,,Y
474,10703,"Dentate gyrus, molecular layer",DG-mo,726,8,/997/8/567/688/695/1089/1080/726/10703/,4306642,Y,,
475,10704,"Dentate gyrus, polymorph layer",DG-po,726,8,/997/8/567/688/695/1089/1080/726/10704/,685994,Y,,
476,632,"Dentate gyrus, granule cell layer",DG-sg,726,8,/997/8/567/688/695/1089/1080/726/632/,1604540,Y,,
490,982,Fasciola cinerea,FC,1080,7,/997/8/567/688/695/1089/1080/982/,61680,Y,,Y
491,19,Induseum griseum,IG,1080,7,/997/8/567/688/695/1089/1080/19/,125690,Y,,Y
492,822,Retrohippocampal region,RHP,1089,6,/997/8/567/688/695/1089/822/,18504594,,,
493,909,Entorhinal area,ENT,822,7,/997/8/567/688/695/1089/822/909/,11396888,,,
494,918,"Entorhinal area, lateral part",ENTl,909,8,/997/8/567/688/695/1089/822/909/918/,6378088,,,Y
495,1121,"Entorhinal area, lateral part, layer 1",ENTl1,918,9,/997/8/567/688/695/1089/822/909/918/1121/,979142,Y,,
496,20,"Entorhinal area, lateral part, layer 2",ENTl2,918,9,/997/8/567/688/695/1089/822/909/918/20/,1604416,Y,,
500,52,"Entorhinal area, lateral part, layer 3",ENTl3,918,9,/997/8/567/688/695/1089/822/909/918/52/,1317080,Y,,
503,139,"Entorhinal area, lateral part, layer 5",ENTl5,918,9,/997/8/567/688/695/1089/822/909/918/139/,1428774,Y,,
505,28,"Entorhinal area, lateral part, layer 6a",ENTl6a,918,9,/997/8/567/688/695/1089/822/909/918/28/,1048676,Y,,
507,926,"Entorhinal area, medial part, dorsal zone",ENTm,909,8,/997/8/567/688/695/1089/822/909/926/,5018800,,,Y
508,526,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,926,9,/997/8/567/688/695/1089/822/909/926/526/,1246100,Y,,
509,543,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,926,9,/997/8/567/688/695/1089/822/909/926/543/,1255434,Y,,
512,664,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,926,9,/997/8/567/688/695/1089/822/909/926/664/,983148,Y,,
514,727,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,926,9,/997/8/567/688/695/1089/822/909/926/727/,911528,Y,,
516,743,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,926,9,/997/8/567/688/695/1089/822/909/926/743/,622590,Y,,
523,843,Parasubiculum,PAR,822,7,/997/8/567/688/695/1089/822/843/,932876,Y,,Y
527,1037,Postsubiculum,POST,822,7,/997/8/567/688/695/1089/822/1037/,1084318,Y,,Y
531,1084,Presubiculum,PRE,822,7,/997/8/567/688/695/1089/822/1084/,916690,Y,,Y
535,502,Subiculum,SUB,822,7,/997/8/567/688/695/1089/822/502/,2097794,Y,,Y
544,484682470,Prosubiculum,ProS,822,7,/997/8/567/688/695/1089/822/484682470/,1328060,Y,,Y
553,589508447,Hippocampo-amygdalar transition area,HATA,822,7,/997/8/567/688/695/1089/822/589508447/,421334,Y,,Y
554,484682508,Area prostriata,APr,822,7,/997/8/567/688/695/1089/822/484682508/,326634,Y,,Y
555,703,Cortical subplate,CTXsp,688,4,/997/8/567/688/703/,8907902,,Y,
557,583,Claustrum,CLA,703,5,/997/8/567/688/703/583/,550738,Y,,Y
558,942,Endopiriform nucleus,EP,703,5,/997/8/567/688/703/942/,2792504,,,
559,952,"Endopiriform nucleus, dorsal part",EPd,942,6,/997/8/567/688/703/942/952/,1819782,Y,,Y
560,966,"Endopiriform nucleus, ventral part",EPv,942,6,/997/8/567/688/703/942/966/,972722,Y,,Y
561,131,Lateral amygdalar nucleus,LA,703,5,/997/8/567/688/703/131/,840288,Y,,Y
562,295,Basolateral amygdalar nucleus,BLA,703,5,/997/8/567/688/703/295/,1900282,,,Y
563,303,"Basolateral amygdalar nucleus, anterior part",BLAa,295,6,/997/8/567/688/703/295/303/,769610,Y,,
564,311,"Basolateral amygdalar nucleus, posterior part",BLAp,295,6,/997/8/567/688/703/295/311/,711236,Y,,
565,451,"Basolateral amygdalar nucleus, ventral part",BLAv,295,6,/997/8/567/688/703/295/451/,419436,Y,,
566,319,Basomedial amygdalar nucleus,BMA,703,5,/997/8/567/688/703/319/,1485188,,,Y
567,327,"Basomedial amygdalar nucleus, anterior part",BMAa,319,6,/997/8/567/688/703/319/327/,767422,Y,,
568,334,"Basomedial amygdalar nucleus, posterior part",BMAp,319,6,/997/8/567/688/703/319/334/,717766,Y,,
569,780,Posterior amygdalar nucleus,PA,703,5,/997/8/567/688/703/780/,966658,Y,,Y
570,623,Cerebral nuclei,CNU,567,3,/997/8/567/623/,54326608,,,
571,477,Striatum,STR,623,4,/997/8/567/623/477/,44961798,,Y,
572,485,Striatum dorsal region,STRd,477,5,/997/8/567/623/477/485/,26018770,,,
573,672,Caudoputamen,CP,485,6,/997/8/567/623/477/485/672/,26018770,Y,,Y
574,493,Striatum ventral region,STRv,477,5,/997/8/567/623/477/493/,8653520,,,
575,56,Nucleus accumbens,ACB,493,6,/997/8/567/623/477/493/56/,4401366,Y,,Y
576,998,Fundus of striatum,FS,493,6,/997/8/567/623/477/493/998/,428468,Y,,Y
577,754,Olfactory tubercle,OT,493,6,/997/8/567/623/477/493/754/,3823686,Y,,Y
585,275,Lateral septal complex,LSX,477,5,/997/8/567/623/477/275/,3564062,,,
586,242,Lateral septal nucleus,LS,275,6,/997/8/567/623/477/275/242/,3052752,,,
587,250,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,242,7,/997/8/567/623/477/275/242/250/,563602,Y,,Y
588,258,"Lateral septal nucleus, rostral (rostroventral) part",LSr,242,7,/997/8/567/623/477/275/242/258/,1881914,Y,,Y
589,266,"Lateral septal nucleus, ventral part",LSv,242,7,/997/8/567/623/477/275/242/266/,607236,Y,,Y
590,310,Septofimbrial nucleus,SF,275,6,/997/8/567/623/477/275/310/,474314,Y,,Y
591,333,Septohippocampal nucleus,SH,275,6,/997/8/567/623/477/275/333/,36996,Y,,Y
592,278,Striatum-like amygdalar nuclei,sAMY,477,5,/997/8/567/623/477/278/,4047624,,,
593,23,Anterior amygdalar area,AAA,278,6,/997/8/567/623/477/278/23/,494370,Y,,Y
594,292,Bed nucleus of the accessory olfactory tract,BA,278,6,/997/8/567/623/477/278/292/,24958,Y,,Y
595,536,Central amygdalar nucleus,CEA,278,6,/997/8/567/623/477/278/536/,1317000,,,Y
596,544,"Central amygdalar nucleus, capsular part",CEAc,536,7,/997/8/567/623/477/278/536/544/,309320,Y,,
597,551,"Central amygdalar nucleus, lateral part",CEAl,536,7,/997/8/567/623/477/278/536/551/,259674,Y,,
598,559,"Central amygdalar nucleus, medial part",CEAm,536,7,/997/8/567/623/477/278/536/559/,748006,Y,,
599,1105,Intercalated amygdalar nucleus,IA,278,6,/997/8/567/623/477/278/1105/,182714,Y,,Y
600,403,Medial amygdalar nucleus,MEA,278,6,/997/8/567/623/477/278/403/,2028582,Y,,Y
608,803,Pallidum,PAL,623,4,/997/8/567/623/803/,9364810,,Y,
609,818,"Pallidum, dorsal region",PALd,803,5,/997/8/567/623/803/818/,1988394,,,
610,1022,"Globus pallidus, external segment",GPe,818,6,/997/8/567/623/803/818/1022/,1564816,Y,,Y
611,1031,"Globus pallidus, internal segment",GPi,818,6,/997/8/567/623/803/818/1031/,423578,Y,,Y
612,835,"Pallidum, ventral region",PALv,803,5,/997/8/567/623/803/835/,3391388,,,
613,342,Substantia innominata,SI,835,6,/997/8/567/623/803/835/342/,3027112,Y,,Y
614,298,Magnocellular nucleus,MA,835,6,/997/8/567/623/803/835/298/,364276,Y,,Y
615,826,"Pallidum, medial region",PALm,803,5,/997/8/567/623/803/826/,1510950,,,
616,904,Medial septal complex,MSC,826,6,/997/8/567/623/803/826/904/,1155100,,,
617,564,Medial septal nucleus,MS,904,7,/997/8/567/623/803/826/904/564/,415168,Y,,Y
618,596,Diagonal band nucleus,NDB,904,7,/997/8/567/623/803/826/904/596/,739932,Y,,Y
619,581,Triangular nucleus of septum,TRS,826,6,/997/8/567/623/803/826/581/,355850,Y,,Y
620,809,"Pallidum, caudal region",PALc,803,5,/997/8/567/623/803/809/,1348458,,,
621,351,Bed nuclei of the stria terminalis,BST,809,6,/997/8/567/623/803/809/351/,1340702,Y,,Y
638,287,Bed nucleus of the anterior commissure,BAC,809,6,/997/8/567/623/803/809/287/,7756,Y,,Y
639,343,Brain stem,BS,8,2,/997/8/343/,119891782,,,
640,1129,Interbrain,IB,343,3,/997/8/343/1129/,35476954,,,
641,549,Thalamus,TH,1129,4,/997/8/343/1129/549/,20274752,,Y,
642,864,"Thalamus, sensory-motor cortex related",DORsm,549,5,/997/8/343/1129/549/864/,6680726,,,
643,637,Ventral group of the dorsal thalamus,VENT,864,6,/997/8/343/1129/549/864/637/,4859792,,,
644,629,Ventral anterior-lateral complex of the thalamus,VAL,637,7,/997/8/343/1129/549/864/637/629/,817044,Y,,Y
645,685,Ventral medial nucleus of the thalamus,VM,637,7,/997/8/343/1129/549/864/637/685/,928730,Y,,Y
646,709,Ventral posterior complex of the thalamus,VP,637,7,/997/8/343/1129/549/864/637/709/,2834416,,,
647,718,Ventral posterolateral nucleus of the thalamus,VPL,709,8,/997/8/343/1129/549/864/637/709/718/,875674,Y,,Y
648,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",VPLpc,709,8,/997/8/343/1129/549/864/637/709/725/,98824,Y,,Y
649,733,Ventral posteromedial nucleus of the thalamus,VPM,709,8,/997/8/343/1129/549/864/637/709/733/,1644660,Y,,Y
650,741,"Ventral posteromedial nucleus of the thalamus, parvicellular part",VPMpc,709,8,/997/8/343/1129/549/864/637/709/741/,215258,Y,,Y
651,563807435,Posterior triangular thalamic nucleus,PoT,637,7,/997/8/343/1129/549/864/637/563807435/,279602,Y,,Y
652,406,Subparafascicular nucleus,SPF,864,6,/997/8/343/1129/549/864/406/,204992,,,
653,414,"Subparafascicular nucleus, magnocellular part",SPFm,406,7,/997/8/343/1129/549/864/406/414/,70074,Y,,Y
654,422,"Subparafascicular nucleus, parvicellular part",SPFp,406,7,/997/8/343/1129/549/864/406/422/,134918,Y,,Y
655,609,Subparafascicular area,SPA,864,6,/997/8/343/1129/549/864/609/,132628,Y,,Y
656,1044,Peripeduncular nucleus,PP,864,6,/997/8/343/1129/549/864/1044/,61144,Y,,Y
657,1008,"Geniculate group, dorsal thalamus",GENd,864,6,/997/8/343/1129/549/864/1008/,1422170,,,
658,475,Medial geniculate complex,MG,1008,7,/997/8/343/1129/549/864/1008/475/,699844,,,Y
659,1072,"Medial geniculate complex, dorsal part",MGd,475,8,/997/8/343/1129/549/864/1008/475/1072/,173090,Y,,
660,1079,"Medial geniculate complex, ventral part",MGv,475,8,/997/8/343/1129/549/864/1008/475/1079/,276444,Y,,
661,1088,"Medial geniculate complex, medial part",MGm,475,8,/997/8/343/1129/549/864/1008/475/1088/,250310,Y,,
662,170,Dorsal part of the lateral geniculate complex,LGd,1008,7,/997/8/343/1129/549/864/1008/170/,722326,,,Y
663,496345664,"Dorsal part of the lateral geniculate complex, shell",LGd-sh,170,8,/997/8/343/1129/549/864/1008/170/496345664/,207304,Y,,
664,496345668,"Dorsal part of the lateral geniculate complex, core",LGd-co,170,8,/997/8/343/1129/549/864/1008/170/496345668/,419172,Y,,
665,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",LGd-ip,170,8,/997/8/343/1129/549/864/1008/170/496345672/,95850,Y,,
666,856,"Thalamus, polymodal association cortex related",DORpm,549,5,/997/8/343/1129/549/856/,12674246,,,
667,138,Lateral group of the dorsal thalamus,LAT,856,6,/997/8/343/1129/549/856/138/,3075398,,,
668,218,Lateral posterior nucleus of the thalamus,LP,138,7,/997/8/343/1129/549/856/138/218/,1200686,Y,,Y
669,1020,Posterior complex of the thalamus,PO,138,7,/997/8/343/1129/549/856/138/1020/,1252618,Y,,Y
670,1029,Posterior limiting nucleus of the thalamus,POL,138,7,/997/8/343/1129/549/856/138/1029/,205490,Y,,Y
671,325,Suprageniculate nucleus,SGN,138,7,/997/8/343/1129/549/856/138/325/,180892,Y,,Y
672,560581551,Ethmoid nucleus of the thalamus,Eth,138,7,/997/8/343/1129/549/856/138/560581551/,235712,Y,,
674,239,Anterior group of the dorsal thalamus,ATN,856,6,/997/8/343/1129/549/856/239/,2158754,,,
675,255,Anteroventral nucleus of thalamus,AV,239,7,/997/8/343/1129/549/856/239/255/,415604,Y,,Y
676,127,Anteromedial nucleus,AM,239,7,/997/8/343/1129/549/856/239/127/,410622,,,Y
677,1096,"Anteromedial nucleus, dorsal part",AMd,127,8,/997/8/343/1129/549/856/239/127/1096/,244270,Y,,
678,1104,"Anteromedial nucleus, ventral part",AMv,127,8,/997/8/343/1129/549/856/239/127/1104/,166352,Y,,
679,64,Anterodorsal nucleus,AD,239,7,/997/8/343/1129/549/856/239/64/,161114,Y,,Y
680,1120,Interanteromedial nucleus of the thalamus,IAM,239,7,/997/8/343/1129/549/856/239/1120/,43372,Y,,Y
681,1113,Interanterodorsal nucleus of the thalamus,IAD,239,7,/997/8/343/1129/549/856/239/1113/,111558,Y,,Y
682,155,Lateral dorsal nucleus of thalamus,LD,239,7,/997/8/343/1129/549/856/239/155/,1016484,Y,,Y
683,444,Medial group of the dorsal thalamus,MED,856,6,/997/8/343/1129/549/856/444/,2017460,,,
684,59,Intermediodorsal nucleus of the thalamus,IMD,444,7,/997/8/343/1129/549/856/444/59/,176410,Y,,Y
685,362,Mediodorsal nucleus of thalamus,MD,444,7,/997/8/343/1129/549/856/444/362/,1383390,Y,,Y
689,366,Submedial nucleus of the thalamus,SMT,444,7,/997/8/343/1129/549/856/444/366/,306336,Y,,Y
690,1077,Perireunensis nucleus,PR,444,7,/997/8/343/1129/549/856/444/1077/,151324,Y,,Y
691,571,Midline group of the dorsal thalamus,MTN,856,6,/997/8/343/1129/549/856/571/,1186056,,,
692,149,Paraventricular nucleus of the thalamus,PVT,571,7,/997/8/343/1129/549/856/571/149/,444484,Y,,Y
693,15,Parataenial nucleus,PT,571,7,/997/8/343/1129/549/856/571/15/,229952,Y,,Y
694,181,Nucleus of reuniens,RE,571,7,/997/8/343/1129/549/856/571/181/,423954,Y,,Y
695,560581559,Xiphoid thalamic nucleus,Xi,571,7,/997/8/343/1129/549/856/571/560581559/,87666,Y,,Y
696,51,Intralaminar nuclei of the dorsal thalamus,ILM,856,6,/997/8/343/1129/549/856/51/,1600950,,,
697,189,Rhomboid nucleus,RH,51,7,/997/8/343/1129/549/856/51/189/,90694,Y,,Y
698,599,Central medial nucleus of the thalamus,CM,51,7,/997/8/343/1129/549/856/51/599/,249570,Y,,Y
699,907,Paracentral nucleus,PCN,51,7,/997/8/343/1129/549/856/51/907/,238112,Y,,Y
700,575,Central lateral nucleus of the thalamus,CL,51,7,/997/8/343/1129/549/856/51/575/,360936,Y,,Y
701,930,Parafascicular nucleus,PF,51,7,/997/8/343/1129/549/856/51/930/,485994,Y,,Y
702,560581563,Posterior intralaminar thalamic nucleus,PIL,51,7,/997/8/343/1129/549/856/51/560581563/,175644,Y,,Y
703,262,Reticular nucleus of the thalamus,RT,856,6,/997/8/343/1129/549/856/262/,1447360,Y,,Y
704,1014,"Geniculate group, ventral thalamus",GENv,856,6,/997/8/343/1129/549/856/1014/,523522,,,
705,27,Intergeniculate leaflet of the lateral geniculate complex,IGL,1014,7,/997/8/343/1129/549/856/1014/27/,68420,Y,,Y
706,563807439,Intermediate geniculate nucleus,IntG,1014,7,/997/8/343/1129/549/856/1014/563807439/,22500,Y,,Y
707,178,Ventral part of the lateral geniculate complex,LGv,1014,7,/997/8/343/1129/549/856/1014/178/,405742,Y,,Y
710,321,Subgeniculate nucleus,SubG,1014,7,/997/8/343/1129/549/856/1014/321/,26860,Y,,Y
711,958,Epithalamus,EPI,856,6,/997/8/343/1129/549/856/958/,664746,,,
712,483,Medial habenula,MH,958,7,/997/8/343/1129/549/856/958/483/,320028,Y,,Y
713,186,Lateral habenula,LH,958,7,/997/8/343/1129/549/856/958/186/,344718,Y,,Y
715,1097,Hypothalamus,HY,1129,4,/997/8/343/1129/1097/,15202202,,Y,
716,157,Periventricular zone,PVZ,1097,5,/997/8/343/1129/1097/157/,782664,,,
717,390,Supraoptic nucleus,SO,157,6,/997/8/343/1129/1097/157/390/,46946,Y,,Y
